STATE|STATEFP|SLDLST|SLDLNAME
PR|72|001|State House District 1
PR|72|002|State House District 2
PR|72|003|State House District 3
PR|72|004|State House District 4
PR|72|005|State House District 5
PR|72|006|State House District 6
PR|72|007|State House District 7
PR|72|008|State House District 8
PR|72|009|State House District 9
PR|72|010|State House District 10
PR|72|011|State House District 11
PR|72|012|State House District 12
PR|72|013|State House District 13
PR|72|014|State House District 14
PR|72|015|State House District 15
PR|72|016|State House District 16
PR|72|017|State House District 17
PR|72|018|State House District 18
PR|72|019|State House District 19
PR|72|020|State House District 20
PR|72|021|State House District 21
PR|72|022|State House District 22
PR|72|023|State House District 23
PR|72|024|State House District 24
PR|72|025|State House District 25
PR|72|026|State House District 26
PR|72|027|State House District 27
PR|72|028|State House District 28
PR|72|029|State House District 29
PR|72|030|State House District 30
PR|72|031|State House District 31
PR|72|032|State House District 32
PR|72|033|State House District 33
PR|72|034|State House District 34
PR|72|035|State House District 35
PR|72|036|State House District 36
PR|72|037|State House District 37
PR|72|038|State House District 38
PR|72|039|State House District 39
PR|72|040|State House District 40
PR|72|ZZZ|State House Districts not defined
