STATE|STATEFP|COUNTYFP|COUNTYNAME|VTDST|VTDNAME
PR|72|001|Adjuntas Municipio|0055.1|Voting District 0055.1
PR|72|001|Adjuntas Municipio|0055.2|Voting District 0055.2
PR|72|001|Adjuntas Municipio|0055.3|Voting District 0055.3
PR|72|001|Adjuntas Municipio|0055.4|Voting District 0055.4
PR|72|001|Adjuntas Municipio|0055.5|Voting District 0055.5
PR|72|001|Adjuntas Municipio|0055.6|Voting District 0055.6
PR|72|001|Adjuntas Municipio|0055.7|Voting District 0055.7
PR|72|001|Adjuntas Municipio|0055.8|Voting District 0055.8
PR|72|001|Adjuntas Municipio|0055.9|Voting District 0055.9
PR|72|001|Adjuntas Municipio|055.10|Voting District 055.10
PR|72|001|Adjuntas Municipio|055.11|Voting District 055.11
PR|72|001|Adjuntas Municipio|055.12|Voting District 055.12
PR|72|003|Aguada Municipio|0038.1|Voting District 0038.1
PR|72|003|Aguada Municipio|0038.2|Voting District 0038.2
PR|72|003|Aguada Municipio|0038.3|Voting District 0038.3
PR|72|003|Aguada Municipio|0038.4|Voting District 0038.4
PR|72|003|Aguada Municipio|0038.5|Voting District 0038.5
PR|72|003|Aguada Municipio|0038.6|Voting District 0038.6
PR|72|003|Aguada Municipio|0038.7|Voting District 0038.7
PR|72|003|Aguada Municipio|0038.8|Voting District 0038.8
PR|72|003|Aguada Municipio|0038.9|Voting District 0038.9
PR|72|003|Aguada Municipio|038.10|Voting District 038.10
PR|72|003|Aguada Municipio|038.11|Voting District 038.11
PR|72|003|Aguada Municipio|038.12|Voting District 038.12
PR|72|003|Aguada Municipio|038.13|Voting District 038.13
PR|72|003|Aguada Municipio|038.14|Voting District 038.14
PR|72|003|Aguada Municipio|038.15|Voting District 038.15
PR|72|003|Aguada Municipio|038.16|Voting District 038.16
PR|72|003|Aguada Municipio|038.17|Voting District 038.17
PR|72|003|Aguada Municipio|ZZZZZZ|Voting Districts Not Defined
PR|72|005|Aguadilla Municipio|0035.1|Voting District 0035.1
PR|72|005|Aguadilla Municipio|0035.2|Voting District 0035.2
PR|72|005|Aguadilla Municipio|0035.3|Voting District 0035.3
PR|72|005|Aguadilla Municipio|0035.4|Voting District 0035.4
PR|72|005|Aguadilla Municipio|0035.5|Voting District 0035.5
PR|72|005|Aguadilla Municipio|0035.6|Voting District 0035.6
PR|72|005|Aguadilla Municipio|0035.7|Voting District 0035.7
PR|72|005|Aguadilla Municipio|0035.8|Voting District 0035.8
PR|72|005|Aguadilla Municipio|0035.9|Voting District 0035.9
PR|72|005|Aguadilla Municipio|035.10|Voting District 035.10
PR|72|005|Aguadilla Municipio|035.11|Voting District 035.11
PR|72|005|Aguadilla Municipio|035.12|Voting District 035.12
PR|72|005|Aguadilla Municipio|035.13|Voting District 035.13
PR|72|005|Aguadilla Municipio|035.14|Voting District 035.14
PR|72|005|Aguadilla Municipio|035.15|Voting District 035.15
PR|72|005|Aguadilla Municipio|035.16|Voting District 035.16
PR|72|005|Aguadilla Municipio|035.17|Voting District 035.17
PR|72|005|Aguadilla Municipio|035.18|Voting District 035.18
PR|72|005|Aguadilla Municipio|035.19|Voting District 035.19
PR|72|005|Aguadilla Municipio|ZZZZZZ|Voting Districts Not Defined
PR|72|007|Aguas Buenas Municipio|0081.1|Voting District 0081.1
PR|72|007|Aguas Buenas Municipio|0081.2|Voting District 0081.2
PR|72|007|Aguas Buenas Municipio|0081.3|Voting District 0081.3
PR|72|007|Aguas Buenas Municipio|0081.4|Voting District 0081.4
PR|72|007|Aguas Buenas Municipio|0081.5|Voting District 0081.5
PR|72|007|Aguas Buenas Municipio|0081.6|Voting District 0081.6
PR|72|009|Aibonito Municipio|0069.1|Voting District 0069.1
PR|72|009|Aibonito Municipio|0069.2|Voting District 0069.2
PR|72|009|Aibonito Municipio|0069.3|Voting District 0069.3
PR|72|009|Aibonito Municipio|0069.4|Voting District 0069.4
PR|72|009|Aibonito Municipio|0069.5|Voting District 0069.5
PR|72|009|Aibonito Municipio|0069.6|Voting District 0069.6
PR|72|009|Aibonito Municipio|0069.7|Voting District 0069.7
PR|72|009|Aibonito Municipio|0069.8|Voting District 0069.8
